"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"ED","2022","Disability Innovation Fund (DIF)","0","No","",""
"ED","2022","Education for Homeless Children and Youth","0","No","",""
"ED","2022","Education Innovation and Research (formerly Investing in Innovation (i3) Fund)","0","No","",""
"ED","2022","Education Research, Development and Dissemination","0","No","",""
"ED","2022","Emergency Assistance to Institutions of Higher Education","0","No","",""
"ED","2022","English Language Acquisition State Grants","0","No","",""
"ED","2022","Gaining Early Awareness and Readiness for Undergraduate Programs","0","No","",""
"ED","2022","Gallaudet University","0","No","",""
"ED","2022","Graduate Assistance in Areas of National Need","0","No","",""
"ED","2022","Grants for State Assessments and Related Activities","0","No","",""
"ED","2022","Higher Education Institutional Aid","0","No","",""
"ED","2022","Howard University","0","No","",""
"ED","2022","Immediate Aid To Restart School Operations (RESTART)","0","No","",""
"ED","2022","Indian Education - Special Programs for Indian Children","0","No","",""
"ED","2022","Indian Education Grants to Local Educational Agencies","0","No","",""
"ED","2022","Innovative Approaches to Literacy; Promise Neighborhoods; and Full-Service Community Schools","0","No","",""
"ED","2022","Javits Gifted and Talented Students Education","0","No","",""
"ED","2022","Magnet Schools Assistance","0","No","",""
"ED","2022","Migrant Education College Assistance Migrant Program","0","No","",""
"ED","2022","Migrant Education High School Equivalency Program","0","No","",""
"ED","2022","Migrant Education State Grant Program","0","No","",""
"ED","2022","National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program","0","No","",""
"ED","2022","National Technical Institute for the Deaf","0","No","",""
"ED","2022","Native Hawaiian Education","0","No","",""
"ED","2022","Program of Protection and Advocacy of Individual Rights","0","No","",""
"ED","2022","Randolph-Sheppard - Financial Relief and Restoration Payments","0","No","",""
"ED","2022","Ready-To-Learn Television","0","No","",""
"ED","2022","Rehabilitation Long-Term Training","0","No","",""
"ED","2022","Rehabilitation Services Client Assistance Program","0","No","",""
"ED","2022","Rehabilitation Services Independent Living Services for Older Individuals Who are Blind","0","No","",""
"ED","2022","Rehabilitation Services Vocational Rehabilitation Grants to States","0","No","",""
"ED","2022","Research in Special Education","0","No","",""
"ED","2022","Rural Education","0","No","",""
"ED","2022","School Improvement Grants","0","No","",""
"ED","2022","School Safety National Activities (formerly, Safe and Drug-Free Schools and Communities-National Programs)","0","No","",""
"ED","2022","Special Education - Personnel Development to Improve Services and Results for Children with Disabilities","0","No","",""
"ED","2022","Special Education - Special Olympics Education Programs","0","No","",""
"ED","2022","Special Education - State Personnel Development","0","No","",""
"ED","2022","Special Education Educational Technology Media, and Materials for Individuals with Disabilities","0","No","",""
"ED","2022","Special Education Parent Information Centers","0","No","",""
"ED","2022","Special Education Preschool Grants","0","No","",""
"ED","2022","Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities","0","No","",""
"ED","2022","Special Education Technical Assistance on State Data Collection","0","No","",""
"ED","2022","Special Education-Grants for Infants and Families","0","No","",""
"ED","2022","Statewide Family Engagement Centers","0","No","",""
"ED","2022","Strengthening Minority-Serving Institutions","0","No","",""
"ED","2022","Student Support and Academic Enrichment Program","0","No","",""
"ED","2022","Supported Employment Services for Individuals with the Most Significant Disabilities","0","No","",""
"ED","2022","Supporting Effective Educator Development Program","0","No","",""
"ED","2022","Supporting Effective Instruction State Grants (formerly Improving Teacher Quality State Grants)","0","No","",""
"ED","2022","Teacher and School Leader Incentive Grants (formerly the Teacher Incentive Fund)","0","No","",""
"ED","2022","Teacher Quality Partnership Grants","0","No","",""
"ED","2022","Title I State Agency Program for Neglected and Delinquent Children and Youth","0","No","",""
"ED","2022","Transition Programs for Students with Intellectual Disabilities into Higher Education","0","No","",""
"ED","2022","TRIO Educational Opportunity Centers","0","No","",""
"ED","2022","TRIO McNair Post-Baccalaureate Achievement","0","No","",""
"ED","2022","TRIO Student Support Services","0","No","",""
"ED","2022","TRIO Talent Search","0","No","",""
"ED","2022","TRIO Upward Bound","0","No","",""
"ED","2022","Twenty-First Century Community Learning Centers","0","No","",""
"ED","2023","Adult Education - Basic Grants to States","0","","Yes","No"
"ED","2023","Alaska Native Educational Programs","0","","No","No"
"ED","2023","American Indian Vocational Rehabilitation Services","0","","No","No"
"ED","2023","American Printing House for the Blind","0","","No","No"
"ED","2023","Arts in Education","0","","No","No"
"ED","2023","Career and Technical Education - Basic Grants to States","0","","Yes","No"
"ED","2023","Career and Technical Education - Grants to Native Americans and Alaska Natives","0","","No","No"
"ED","2023","Charter Schools","0","","No","No"
"ED","2023","Child Care Access Means Parents in School","0","","No","No"
"ED","2023","Comprehensive Centers","0","","No","No"
"ED","2023","Comprehensive Literacy Development","0","","No","No"
"ED","2023","Consolidated Grant to the Outlying Areas","0","","No","No"
"ED","2023","Contracts Management","0","","Yes","No"
"ED","2023","Credit Enhancement for Charter School Facilities","0","","No","No"
"ED","2023","Credit Programs","0","","No","No"
"ED","2023","DC Opportunity Scholarship Program","0","","No","No"
"ED","2023","Disaster Recovery Assistance for Education","0","","No","No"
"ED","2023","Education for Homeless Children and Youth","0","","No","No"
"ED","2023","Education Innovation and Research (formerly Investing in Innovation (i3) Fund)","0","","No","No"
"ED","2023","Education Research, Development and Dissemination","0","","No","No"
"ED","2023","Education Stabilization Fund","0","","No","No"
"ED","2023","English Language Acquisition State Grants","0","","Yes","No"
"ED","2023","Federal Family Education Loan (FFEL)","0","","Yes","No"
"ED","2023","Federal Pell Grant Program","0","","No","No"
"ED","2023","Federal Perkins Loan (Perkins)","0","","Yes","No"
"ED","2023","Federal Supplemental Educational Opportunity Grant (FSEOG)","0","","Yes","No"
"ED","2023","Federal Work-Study","0","","Yes","No"
"ED","2023","Fund for the Improvement of Postsecondary Education","0","","Yes","No"
"ED","2023","Gaining Early Awareness and Readiness for Undergraduate Programs","0","","No","No"
"ED","2023","Gallaudet University","0","","No","No"
"ED","2023","Graduate Assistance in Areas of National Need","0","","No","No"
"ED","2023","Grants for State Assessments and Related Activities","0","","No","No"
"ED","2023","Health Education Assistance Loan (HEAL)","0","","Yes","No"
"ED","2023","Higher Education Institutional Aid","0","","Yes","No"
"ED","2023","Howard University","0","","No","No"
"ED","2023","Impact Aid","0","","No","No"
"ED","2023","Indian Education - Special Programs for Indian Children","0","","No","No"
"ED","2023","Indian Education Grants to Local Educational Agencies","0","","No","No"
"ED","2023","Innovative Approaches to Literacy; Promise Neighborhoods; and Full-Service Community Schools","0","","No","No"
"ED","2023","Iraq and Afghanistan Service Grant (IASG)","0","","Yes","No"
"ED","2023","Javits Gifted and Talented Students Education","0","","No","No"
"ED","2023","Magnet Schools Assistance","0","","No","No"
"ED","2023","Migrant Education College Assistance Migrant Program","0","","No","No"
"ED","2023","Migrant Education High School Equivalency Program","0","","No","No"
"ED","2023","Migrant Education State Grant Program","0","","No","No"
"ED","2023","Minority Science and Engineering Improvement","0","","No","No"
"ED","2023","National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program","0","","No","No"
"ED","2023","National Technical Institute for the Deaf","0","","No","No"
"ED","2023","Native Hawaiian Education","0","","No","No"
"ED","2023","Personnel Compensation and Benefits","0","","Yes","No"
"ED","2023","Program of Protection and Advocacy of Individual Rights","0","","No","No"
"ED","2023","Ready-To-Learn Television","0","","No","No"
"ED","2023","Rehabilitation Long-Term Training","0","","No","No"
"ED","2023","Rehabilitation Services Client Assistance Program","0","","No","No"
"ED","2023","Rehabilitation Services Independent Living Services for Older Individuals Who are Blind","0","","No","No"
"ED","2023","Rehabilitation Services Service Projects","0","","No","No"
"ED","2023","Rehabilitation Services Vocational Rehabilitation Grants to States","0","","No","No"
"ED","2023","Research in Special Education","0","","No","No"
"ED","2023","Rural Education","0","","No","No"
"ED","2023","School Improvement Grants","0","","No","No"
"ED","2023","School Safety National Activities (formerly, Safe and Drug-Free Schools and Communities-National Programs)","0","","No","No"
"ED","2023","Special Education - Personnel Development to Improve Services and Results for Children with Disabilities","0","","No","No"
"ED","2023","Special Education - Special Olympics Education Programs","0","","No","No"
"ED","2023","Special Education - State Personnel Development","0","","No","No"
"ED","2023","Special Education Educational Technology Media, and Materials for Individuals with Disabilities","0","","No","No"
